CityID(FK),FacilityID(FK),total,Jumlah Penduduk,Rasio,status,color
1,1,24,557164,0.000043,Tinggi,#00665A
2,1,31,877121,0.000035,Tinggi,#00665A
3,1,22,699526,0.000031,Sedang,#00CCB4
4,1,32,1047645,0.000031,Sedang,#00CCB4
5,1,24,1167796,0.000021,Rendah,#80FFF0
6,1,37,1587132,0.000023,Sedang,#00CCB4
7,1,39,2637160,0.000015,Rendah,#80FFF0
8,1,25,1047482,0.000024,Sedang,#00CCB4
9,1,50,2471542,0.00002,Rendah,#80FFF0
10,1,45,1622536,0.000028,Sedang,#00CCB4
11,1,25,782676,0.000032,Sedang,#00CCB4
12,1,20,689361,0.000029,Sedang,#00CCB4
13,1,33,1182298,0.000028,Sedang,#00CCB4
14,1,33,1650256,0.00002,Rendah,#80FFF0
15,1,27,2321549,0.000012,Rendah,#80FFF0
16,1,27,1136879,0.000024,Sedang,#00CCB4
17,1,34,1274197,0.000027,Sedang,#00CCB4
18,1,20,1060086,0.000019,Rendah,#80FFF0
19,1,26,685490,0.000038,Tinggi,#00665A
20,1,22,636148,0.000035,Sedang,#00CCB4
21,1,24,840327,0.000029,Sedang,#00CCB4
22,1,36,1255119,0.000029,Sedang,#00CCB4
23,1,33,1182070,0.000028,Sedang,#00CCB4
24,1,33,1204437,0.000027,Sedang,#00CCB4
25,1,32,1342628,0.000024,Sedang,#00CCB4
26,1,22,1003188,0.000022,Rendah,#80FFF0
27,1,22,1001140,0.000022,Rendah,#80FFF0
28,1,21,898130,0.000023,Sedang,#00CCB4
29,1,30,1096701,0.000027,Sedang,#00CCB4
30,1,9,291256,0.000031,Sedang,#00CCB4
31,1,3,143840,0.000021,Rendah,#80FFF0
32,1,16,880169,0.000018,Rendah,#80FFF0
33,1,6,241423,0.000025,Sedang,#00CCB4
34,1,8,203244,0.000039,Tinggi,#00665A
35,1,6,131216,0.000046,Tinggi,#00665A
36,1,6,177972,0.000034,Sedang,#00CCB4
37,1,63,2918543,0.000022,Rendah,#80FFF0
38,1,5,211225,0.000024,Sedang,#00CCB4
1,2,8,557164,0.000014,Rendah,#D1B3FF
2,2,13,877121,0.000015,Rendah,#D1B3FF
3,2,5,699526,0.000007,Rendah,#D1B3FF
4,2,12,1047645,0.000011,Rendah,#D1B3FF
5,2,5,1167796,0.000004,Rendah,#D1B3FF
6,2,11,1587132,0.000007,Rendah,#D1B3FF
7,2,22,2637160,0.000008,Rendah,#D1B3FF
8,2,7,1047482,0.000007,Rendah,#D1B3FF
9,2,13,2471542,0.000005,Rendah,#D1B3FF
10,2,13,1622536,0.000008,Rendah,#D1B3FF
11,2,5,782676,0.000006,Rendah,#D1B3FF
12,2,6,689361,0.000009,Rendah,#D1B3FF
13,2,6,1182298,0.000005,Rendah,#D1B3FF
14,2,8,1650256,0.000005,Rendah,#D1B3FF
15,2,26,2321549,0.000011,Rendah,#D1B3FF
16,2,11,1136879,0.00001,Rendah,#D1B3FF
17,2,14,1274197,0.000011,Rendah,#D1B3FF
18,2,6,1060086,0.000006,Rendah,#D1B3FF
19,2,3,685490,0.000004,Rendah,#D1B3FF
20,2,6,636148,0.000009,Rendah,#D1B3FF
21,2,3,840327,0.000004,Rendah,#D1B3FF
22,2,10,1255119,0.000008,Rendah,#D1B3FF
23,2,6,1182070,0.000005,Rendah,#D1B3FF
24,2,11,1204437,0.000009,Rendah,#D1B3FF
25,2,19,1342628,0.000014,Rendah,#D1B3FF
26,2,6,1003188,0.000006,Rendah,#D1B3FF
27,2,3,1001140,0.000003,Rendah,#D1B3FF
28,2,7,898130,0.000008,Rendah,#D1B3FF
29,2,4,1096701,0.000004,Rendah,#D1B3FF
30,2,12,291256,0.000041,Sedang,#751AFF
31,2,6,143840,0.000042,Tinggi,#330080
32,2,25,880169,0.000028,Sedang,#751AFF
33,2,4,241423,0.000017,Rendah,#D1B3FF
34,2,2,203244,0.00001,Rendah,#D1B3FF
35,2,8,131216,0.000061,Tinggi,#330080
36,2,8,177972,0.000045,Tinggi,#330080
37,2,51,2918543,0.000017,Rendah,#D1B3FF
38,2,6,211225,0.000028,Sedang,#751AFF
1,3,0,557164,0,0,0
2,3,0,877121,0,0,0
3,3,0,699526,0,0,0
4,3,0,1047645,0,0,0
5,3,0,1167796,0,0,0
6,3,0,1587132,0,0,0
7,3,0,2637160,0,0,0
8,3,0,1047482,0,0,0
9,3,0,2471542,0,0,0
10,3,0,1622536,0,0,0
11,3,0,782676,0,0,0
12,3,0,689361,0,0,0
13,3,0,1182298,0,0,0
14,3,0,1650256,0,0,0
15,3,0,2321549,0,0,0
16,3,0,1136879,0,0,0
17,3,0,1274197,0,0,0
18,3,0,1060086,0,0,0
19,3,0,685490,0,0,0
20,3,0,636148,0,0,0
21,3,0,840327,0,0,0
22,3,0,1255119,0,0,0
23,3,0,1182070,0,0,0
24,3,0,1204437,0,0,0
25,3,0,1342628,0,0,0
26,3,0,1003188,0,0,0
27,3,0,1001140,0,0,0
28,3,0,898130,0,0,0
29,3,0,1096701,0,0,0
30,3,0,291256,0,0,0
31,3,0,143840,0,0,0
32,3,0,880169,0,0,0
33,3,0,241423,0,0,0
34,3,0,203244,0,0,0
35,3,0,131216,0,0,0
36,3,0,177972,0,0,0
37,3,0,2918543,0,0,0
38,3,0,211225,0,0,0
